INFO:__mp_main__:< current epoch -> 0 || 1 of 14 done || time elapsed 7.1320953369140625 || current lr -> 0.0001 || current loss -> 0.6969844102859497 >
INFO:__mp_main__:< current epoch -> 0 || 2 of 14 done || time elapsed 6.984953880310059 || current lr -> 0.0001 || current loss -> 0.40724101662635803 >
INFO:__mp_main__:< current epoch -> 0 || 3 of 14 done || time elapsed 6.993607044219971 || current lr -> 0.0001 || current loss -> 0.280335009098053 >
INFO:__mp_main__:< current epoch -> 0 || 4 of 14 done || time elapsed 7.018616437911987 || current lr -> 0.0001 || current loss -> 0.22943364083766937 >
INFO:__mp_main__:< current epoch -> 0 || 5 of 14 done || time elapsed 7.030558347702026 || current lr -> 0.0001 || current loss -> 0.2177158147096634 >
INFO:__mp_main__:< current epoch -> 0 || 6 of 14 done || time elapsed 7.0933778285980225 || current lr -> 0.0001 || current loss -> 0.2072571963071823 >
INFO:__mp_main__:< current epoch -> 0 || 7 of 14 done || time elapsed 7.088155746459961 || current lr -> 0.0001 || current loss -> 0.19253027439117432 >
INFO:__mp_main__:< current epoch -> 0 || 8 of 14 done || time elapsed 7.090001583099365 || current lr -> 0.0001 || current loss -> 0.19717513024806976 >
INFO:__mp_main__:< current epoch -> 0 || 9 of 14 done || time elapsed 7.104046106338501 || current lr -> 0.0001 || current loss -> 0.19793790578842163 >
INFO:__mp_main__:< current epoch -> 0 || 10 of 14 done || time elapsed 7.1272735595703125 || current lr -> 0.0001 || current loss -> 0.20662784576416016 >
INFO:__mp_main__:< current epoch -> 0 || 11 of 14 done || time elapsed 7.112263441085815 || current lr -> 0.0001 || current loss -> 0.19645996391773224 >
INFO:__mp_main__:< current epoch -> 0 || 12 of 14 done || time elapsed 7.1332128047943115 || current lr -> 0.0001 || current loss -> 0.1986796110868454 >
INFO:__mp_main__:< current epoch -> 0 || 13 of 14 done || time elapsed 7.1274120807647705 || current lr -> 0.0001 || current loss -> 0.2002381682395935 >
INFO:__mp_main__:< current epoch -> 0 || 14 of 14 done || time elapsed 4.9299094676971436 || current lr -> 0.0001 || current loss -> 0.19127285480499268 >
INFO:__mp_main__:------------------------------------ 1 of 100 done, total loss 0.25856348872184753 ------------------------------------
INFO:__mp_main__:< current epoch -> 1 || 1 of 14 done || time elapsed 7.126837730407715 || current lr -> 0.0001 || current loss -> 0.21914483606815338 >
INFO:__mp_main__:< current epoch -> 1 || 2 of 14 done || time elapsed 7.127197265625 || current lr -> 0.0001 || current loss -> 0.2005084753036499 >
INFO:__mp_main__:< current epoch -> 1 || 3 of 14 done || time elapsed 7.122434377670288 || current lr -> 0.0001 || current loss -> 0.1973586529493332 >
INFO:__mp_main__:< current epoch -> 1 || 4 of 14 done || time elapsed 7.1291587352752686 || current lr -> 0.0001 || current loss -> 0.1927146017551422 >
INFO:__mp_main__:< current epoch -> 1 || 5 of 14 done || time elapsed 7.133782386779785 || current lr -> 0.0001 || current loss -> 0.1994781345129013 >
INFO:__mp_main__:< current epoch -> 1 || 6 of 14 done || time elapsed 7.131701707839966 || current lr -> 0.0001 || current loss -> 0.18782009184360504 >
INFO:__mp_main__:< current epoch -> 1 || 7 of 14 done || time elapsed 7.134837865829468 || current lr -> 0.0001 || current loss -> 0.17286697030067444 >
INFO:__mp_main__:< current epoch -> 1 || 8 of 14 done || time elapsed 7.130773067474365 || current lr -> 0.0001 || current loss -> 0.1834784299135208 >
INFO:__mp_main__:< current epoch -> 1 || 9 of 14 done || time elapsed 7.132055044174194 || current lr -> 0.0001 || current loss -> 0.1806267499923706 >
INFO:__mp_main__:< current epoch -> 1 || 10 of 14 done || time elapsed 7.140760898590088 || current lr -> 0.0001 || current loss -> 0.18730886280536652 >
INFO:__mp_main__:< current epoch -> 1 || 11 of 14 done || time elapsed 7.138157606124878 || current lr -> 0.0001 || current loss -> 0.17789840698242188 >
INFO:__mp_main__:< current epoch -> 1 || 12 of 14 done || time elapsed 7.141247510910034 || current lr -> 0.0001 || current loss -> 0.1802932173013687 >
INFO:__mp_main__:< current epoch -> 1 || 13 of 14 done || time elapsed 7.123123407363892 || current lr -> 0.0001 || current loss -> 0.17748339474201202 >
INFO:__mp_main__:< current epoch -> 1 || 14 of 14 done || time elapsed 4.945145606994629 || current lr -> 0.0001 || current loss -> 0.1780378818511963 >
INFO:__mp_main__:------------------------------------ 2 of 100 done, total loss 0.18821562188012259 ------------------------------------
INFO:__mp_main__:< current epoch -> 2 || 1 of 14 done || time elapsed 7.137366533279419 || current lr -> 0.0001 || current loss -> 0.1950109601020813 >
INFO:__mp_main__:< current epoch -> 2 || 2 of 14 done || time elapsed 7.142942428588867 || current lr -> 0.0001 || current loss -> 0.1808447241783142 >
INFO:__mp_main__:< current epoch -> 2 || 3 of 14 done || time elapsed 7.134437561035156 || current lr -> 0.0001 || current loss -> 0.1810043603181839 >
INFO:__mp_main__:< current epoch -> 2 || 4 of 14 done || time elapsed 7.135565757751465 || current lr -> 0.0001 || current loss -> 0.17955997586250305 >
INFO:__mp_main__:< current epoch -> 2 || 5 of 14 done || time elapsed 7.130951166152954 || current lr -> 0.0001 || current loss -> 0.18675373494625092 >
INFO:__mp_main__:< current epoch -> 2 || 6 of 14 done || time elapsed 7.132336378097534 || current lr -> 0.0001 || current loss -> 0.17576202750205994 >
INFO:__mp_main__:< current epoch -> 2 || 7 of 14 done || time elapsed 7.137762069702148 || current lr -> 0.0001 || current loss -> 0.16300354897975922 >
INFO:__mp_main__:< current epoch -> 2 || 8 of 14 done || time elapsed 7.134939908981323 || current lr -> 0.0001 || current loss -> 0.1736973077058792 >
INFO:__mp_main__:< current epoch -> 2 || 9 of 14 done || time elapsed 7.134349822998047 || current lr -> 0.0001 || current loss -> 0.1693517118692398 >
INFO:__mp_main__:< current epoch -> 2 || 10 of 14 done || time elapsed 7.141739845275879 || current lr -> 0.0001 || current loss -> 0.17751847207546234 >
INFO:__mp_main__:< current epoch -> 2 || 11 of 14 done || time elapsed 7.140239715576172 || current lr -> 0.0001 || current loss -> 0.1667633205652237 >
INFO:__mp_main__:< current epoch -> 2 || 12 of 14 done || time elapsed 7.144493818283081 || current lr -> 0.0001 || current loss -> 0.17052772641181946 >
INFO:__mp_main__:< current epoch -> 2 || 13 of 14 done || time elapsed 7.13884711265564 || current lr -> 0.0001 || current loss -> 0.1696108877658844 >
INFO:__mp_main__:< current epoch -> 2 || 14 of 14 done || time elapsed 4.949968099594116 || current lr -> 0.0001 || current loss -> 0.1657177060842514 >
INFO:__mp_main__:------------------------------------ 3 of 100 done, total loss 0.17536617602620805 ------------------------------------
INFO:__mp_main__:< current epoch -> 3 || 1 of 14 done || time elapsed 7.146979570388794 || current lr -> 0.0001 || current loss -> 0.18689313530921936 >
INFO:__mp_main__:< current epoch -> 3 || 2 of 14 done || time elapsed 7.146726846694946 || current lr -> 0.0001 || current loss -> 0.1747683733701706 >
INFO:__mp_main__:< current epoch -> 3 || 3 of 14 done || time elapsed 7.143163681030273 || current lr -> 0.0001 || current loss -> 0.17407168447971344 >
INFO:__mp_main__:< current epoch -> 3 || 4 of 14 done || time elapsed 7.148196458816528 || current lr -> 0.0001 || current loss -> 0.1719861477613449 >
INFO:__mp_main__:< current epoch -> 3 || 5 of 14 done || time elapsed 7.146153926849365 || current lr -> 0.0001 || current loss -> 0.17571139335632324 >
INFO:__mp_main__:< current epoch -> 3 || 6 of 14 done || time elapsed 7.147465229034424 || current lr -> 0.0001 || current loss -> 0.16777300834655762 >
INFO:__mp_main__:< current epoch -> 3 || 7 of 14 done || time elapsed 7.138383150100708 || current lr -> 0.0001 || current loss -> 0.15457259118556976 >
INFO:__mp_main__:< current epoch -> 3 || 8 of 14 done || time elapsed 7.135924339294434 || current lr -> 0.0001 || current loss -> 0.16655004024505615 >
INFO:__mp_main__:< current epoch -> 3 || 9 of 14 done || time elapsed 7.155461549758911 || current lr -> 0.0001 || current loss -> 0.16138334572315216 >
